"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
0,1,0.973,0.73,0.243,1,1,0.04,NA,0,-0.027,-0.315,NA
1,1.022,0.98,0.735,0.245,1.076,1.04,0.042,0.076,0.095,0.053,-0.235,0.08
2,1.041,0.986,0.739,0.246,1.158,1.082,0.043,0.076,0.186,0.132,-0.155,0.079
3,1.058,0.991,0.743,0.248,1.245,1.125,0.045,0.075,0.275,0.21,-0.077,0.078
4,1.073,0.996,0.747,0.249,1.338,1.17,0.047,0.075,0.362,0.287,0,0.077
5,1.087,1,0.75,0.25,1.438,1.217,0.049,0.075,0.447,0.364,0.076,0.076
6,1.099,1.004,0.753,0.251,1.545,1.265,0.051,0.074,0.53,0.439,0.151,0.075
7,1.111,1.007,0.755,0.252,1.66,1.316,0.053,0.074,0.611,0.514,0.226,0.075
8,1.121,1.01,0.758,0.253,1.782,1.369,0.055,0.074,0.692,0.588,0.3,0.074
9,1.13,1.013,0.76,0.253,1.913,1.423,0.057,0.073,0.77,0.661,0.374,0.073
10,1.138,1.015,0.762,0.254,2.052,1.48,0.059,0.073,0.848,0.734,0.447,0.073
11,1.146,1.018,0.763,0.254,2.202,1.539,0.062,0.073,0.925,0.807,0.519,0.072
12,1.152,1.02,0.765,0.255,2.361,1.601,0.064,0.072,1.001,0.879,0.591,0.072
13,1.159,1.021,0.766,0.255,2.532,1.665,0.067,0.072,1.076,0.95,0.662,0.072
14,1.165,1.023,0.767,0.256,2.714,1.732,0.069,0.072,1.151,1.021,0.734,0.071
15,1.17,1.025,0.769,0.256,2.908,1.801,0.072,0.072,1.224,1.092,0.804,0.071
16,1.175,1.026,0.77,0.257,3.116,1.873,0.075,0.071,1.298,1.162,0.875,0.07
17,1.18,1.028,0.771,0.257,3.338,1.948,0.078,0.071,1.37,1.232,0.945,0.07
18,1.184,1.029,0.772,0.257,3.574,2.026,0.081,0.071,1.442,1.302,1.014,0.07
19,1.188,1.03,0.772,0.257,3.827,2.107,0.084,0.071,1.514,1.371,1.084,0.069
20,1.192,1.031,0.773,0.258,4.096,2.191,0.088,0.07,1.585,1.44,1.153,0.069
21,1.195,1.032,0.774,0.258,4.383,2.279,0.091,0.07,1.656,1.509,1.222,0.069
22,1.199,1.033,0.775,0.258,4.69,2.37,0.095,0.07,1.727,1.578,1.29,0.069
23,1.202,1.034,0.775,0.258,5.017,2.465,0.099,0.07,1.797,1.646,1.358,0.068
24,1.205,1.035,0.776,0.259,5.366,2.563,0.103,0.07,1.866,1.714,1.426,0.068
25,1.208,1.036,0.777,0.259,5.737,2.666,0.107,0.069,1.936,1.782,1.494,0.068
26,1.21,1.036,0.777,0.259,6.134,2.772,0.111,0.069,2.005,1.849,1.562,0.068
27,1.213,1.037,0.778,0.259,6.556,2.883,0.115,0.069,2.073,1.917,1.629,0.067
28,1.215,1.038,0.778,0.259,7.007,2.999,0.12,0.069,2.142,1.984,1.696,0.067
29,1.218,1.038,0.779,0.26,7.486,3.119,0.125,0.068,2.21,2.051,1.763,0.067
30,1.22,1.039,0.779,0.26,7.998,3.243,0.13,0.068,2.278,2.117,1.83,0.067
31,1.222,1.04,0.78,0.26,8.542,3.373,0.135,0.068,2.346,2.184,1.896,0.067
32,1.225,1.04,0.78,0.26,9.123,3.508,0.14,0.068,2.413,2.25,1.963,0.066
33,1.227,1.041,0.781,0.26,9.741,3.648,0.146,0.068,2.481,2.316,2.029,0.066
34,1.229,1.041,0.781,0.26,10.399,3.794,0.152,0.068,2.548,2.382,2.095,0.066
35,1.231,1.042,0.782,0.261,11.1,3.946,0.158,0.067,2.615,2.448,2.16,0.066
36,1.233,1.043,0.782,0.261,11.846,4.104,0.164,0.067,2.681,2.514,2.226,0.066
37,1.235,1.043,0.782,0.261,12.641,4.268,0.171,0.067,2.748,2.579,2.291,0.065
38,1.236,1.044,0.783,0.261,13.487,4.439,0.178,0.067,2.814,2.644,2.357,0.065
39,1.238,1.044,0.783,0.261,14.387,4.616,0.185,0.067,2.88,2.709,2.422,0.065
40,1.24,1.045,0.783,0.261,15.345,4.801,0.192,0.067,2.946,2.774,2.487,0.065
41,1.242,1.045,0.784,0.261,16.365,4.993,0.2,0.066,3.012,2.839,2.552,0.065
42,1.243,1.046,0.784,0.261,17.45,5.193,0.208,0.066,3.077,2.904,2.616,0.065
43,1.245,1.046,0.784,0.261,18.604,5.4,0.216,0.066,3.142,2.968,2.681,0.064
44,1.246,1.046,0.785,0.262,19.832,5.617,0.225,0.066,3.208,3.033,2.745,0.064
45,1.248,1.047,0.785,0.262,21.138,5.841,0.234,0.066,3.273,3.097,2.809,0.064
46,1.25,1.047,0.785,0.262,22.528,6.075,0.243,0.066,3.337,3.161,2.873,0.064
47,1.251,1.048,0.786,0.262,24.005,6.318,0.253,0.066,3.402,3.225,2.937,0.064
48,1.252,1.048,0.786,0.262,25.577,6.571,0.263,0.065,3.467,3.289,3.001,0.064
49,1.254,1.048,0.786,0.262,27.247,6.833,0.273,0.065,3.531,3.352,3.065,0.064
50,1.255,1.049,0.787,0.262,29.024,7.107,0.284,0.065,3.595,3.416,3.128,0.064
51,1.257,1.049,0.787,0.262,30.912,7.391,0.296,0.065,3.66,3.479,3.192,0.063
52,1.258,1.05,0.787,0.262,32.92,7.687,0.307,0.065,3.724,3.542,3.255,0.063
53,1.259,1.05,0.787,0.262,35.054,7.994,0.32,0.065,3.787,3.606,3.318,0.063
54,1.261,1.05,0.788,0.263,37.322,8.314,0.333,0.065,3.851,3.669,3.381,0.063
55,1.262,1.051,0.788,0.263,39.732,8.646,0.346,0.065,3.915,3.732,3.444,0.063
56,1.263,1.051,0.788,0.263,42.294,8.992,0.36,0.064,3.978,3.794,3.507,0.063
57,1.264,1.051,0.789,0.263,45.016,9.352,0.374,0.064,4.042,3.857,3.569,0.063
58,1.266,1.052,0.789,0.263,47.907,9.726,0.389,0.064,4.105,3.92,3.632,0.063
59,1.267,1.052,0.789,0.263,50.98,10.115,0.405,0.064,4.168,3.982,3.694,0.062
60,1.268,1.052,0.789,0.263,54.243,10.52,0.421,0.064,4.231,4.044,3.757,0.062
61,1.269,1.053,0.789,0.263,57.71,10.94,0.438,0.064,4.294,4.107,3.819,0.062
62,1.27,1.053,0.79,0.263,61.393,11.378,0.455,0.064,4.357,4.169,3.881,0.062
63,1.271,1.053,0.79,0.263,65.304,11.833,0.473,0.064,4.419,4.231,3.943,0.062
64,1.272,1.054,0.79,0.263,69.457,12.306,0.492,0.064,4.482,4.293,4.005,0.062
65,1.274,1.054,0.79,0.263,73.868,12.799,0.512,0.064,4.544,4.355,4.067,0.062
66,1.275,1.054,0.791,0.264,78.552,13.311,0.532,0.063,4.606,4.416,4.129,0.062
67,1.276,1.054,0.791,0.264,83.524,13.843,0.554,0.063,4.669,4.478,4.19,0.062
68,1.277,1.055,0.791,0.264,88.804,14.397,0.576,0.063,4.731,4.54,4.252,0.062
69,1.278,1.055,0.791,0.264,94.409,14.973,0.599,0.063,4.793,4.601,4.313,0.061
70,1.279,1.055,0.791,0.264,100.359,15.572,0.623,0.063,4.855,4.663,4.375,0.061
71,1.28,1.056,0.792,0.264,106.675,16.194,0.648,0.063,4.916,4.724,4.436,0.061
72,1.281,1.056,0.792,0.264,113.378,16.842,0.674,0.063,4.978,4.785,4.497,0.061
73,1.282,1.056,0.792,0.264,120.493,17.516,0.701,0.063,5.04,4.846,4.558,0.061
74,1.283,1.056,0.792,0.264,128.044,18.217,0.729,0.063,5.101,4.907,4.619,0.061
75,1.284,1.057,0.792,0.264,136.057,18.945,0.758,0.063,5.163,4.968,4.68,0.061
76,1.285,1.057,0.793,0.264,144.559,19.703,0.788,0.062,5.224,5.029,4.741,0.061
77,1.285,1.057,0.793,0.264,153.581,20.491,0.82,0.062,5.285,5.09,4.802,0.061
78,1.286,1.057,0.793,0.264,163.154,21.311,0.852,0.062,5.346,5.15,4.863,0.061
79,1.287,1.058,0.793,0.264,173.31,22.163,0.887,0.062,5.408,5.211,4.923,0.061
80,1.288,1.058,0.793,0.264,184.084,23.05,0.922,0.062,5.469,5.272,4.984,0.061
81,1.289,1.058,0.794,0.265,195.513,23.972,0.959,0.062,5.529,5.332,5.044,0.06
82,1.29,1.058,0.794,0.265,207.637,24.931,0.997,0.062,5.59,5.392,5.105,0.06
83,1.291,1.058,0.794,0.265,220.496,25.928,1.037,0.062,5.651,5.453,5.165,0.06
84,1.291,1.059,0.794,0.265,234.135,26.965,1.079,0.062,5.712,5.513,5.225,0.06
85,1.292,1.059,0.794,0.265,248.6,28.044,1.122,0.062,5.772,5.573,5.285,0.06
86,1.293,1.059,0.794,0.265,263.941,29.165,1.167,0.062,5.833,5.633,5.346,0.06
87,1.294,1.059,0.795,0.265,280.209,30.332,1.213,0.062,5.893,5.693,5.406,0.06
88,1.295,1.06,0.795,0.265,297.46,31.545,1.262,0.062,5.953,5.753,5.465,0.06
89,1.295,1.06,0.795,0.265,315.752,32.807,1.312,0.061,6.014,5.813,5.525,0.06
90,1.296,1.06,0.795,0.265,335.146,34.119,1.365,0.061,6.074,5.873,5.585,0.06
91,1.297,1.06,0.795,0.265,355.709,35.484,1.419,0.061,6.134,5.933,5.645,0.06
92,1.298,1.06,0.795,0.265,377.508,36.903,1.476,0.061,6.194,5.992,5.705,0.06
93,1.298,1.061,0.795,0.265,400.619,38.38,1.535,0.061,6.254,6.052,5.764,0.06
94,1.299,1.061,0.796,0.265,425.118,39.915,1.597,0.061,6.314,6.111,5.824,0.06
95,1.3,1.061,0.796,0.265,451.087,41.511,1.66,0.061,6.374,6.171,5.883,0.059
96,1.301,1.061,0.796,0.265,478.614,43.172,1.727,0.061,6.434,6.23,5.943,0.059
97,1.301,1.061,0.796,0.265,507.79,44.899,1.796,0.061,6.493,6.29,6.002,0.059
98,1.302,1.062,0.796,0.265,538.712,46.695,1.868,0.061,6.553,6.349,6.061,0.059
99,1.303,1.062,0.796,0.265,571.484,48.562,1.942,0.061,6.613,6.408,6.12,0.059
100,1.303,1.062,0.796,0.265,606.215,50.505,2.02,0.061,6.672,6.467,6.18,0.059
101,1.304,1.062,0.797,0.266,643.02,52.525,2.101,0.061,6.732,6.526,6.239,0.059
102,1.305,1.062,0.797,0.266,682.02,54.626,2.185,0.061,6.791,6.585,6.298,0.059
