"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
103,1.305,1.062,0.797,0.266,723.346,56.811,2.272,0.061,6.85,6.644,6.357,0.059
104,1.306,1.063,0.797,0.266,767.134,59.084,2.363,0.061,6.91,6.703,6.416,0.059
105,1.306,1.063,0.797,0.266,813.528,61.447,2.458,0.06,6.969,6.762,6.475,0.059
106,1.307,1.063,0.797,0.266,862.682,63.905,2.556,0.06,7.028,6.821,6.533,0.059
107,1.308,1.063,0.797,0.266,914.757,66.461,2.658,0.06,7.087,6.88,6.592,0.059
108,1.308,1.063,0.797,0.266,969.925,69.12,2.765,0.06,7.146,6.939,6.651,0.059
109,1.309,1.063,0.798,0.266,1028.367,71.884,2.875,0.06,7.205,6.997,6.71,0.059
110,1.31,1.064,0.798,0.266,1090.274,74.76,2.99,0.06,7.264,7.056,6.768,0.059
111,1.31,1.064,0.798,0.266,1155.85,77.75,3.11,0.06,7.323,7.114,6.827,0.059
112,1.311,1.064,0.798,0.266,1225.308,80.86,3.234,0.06,7.382,7.173,6.885,0.059
113,1.311,1.064,0.798,0.266,1298.877,84.094,3.364,0.06,7.44,7.231,6.944,0.058
114,1.312,1.064,0.798,0.266,1376.795,87.458,3.498,0.06,7.499,7.29,7.002,0.058
115,1.312,1.064,0.798,0.266,1459.318,90.957,3.638,0.06,7.558,7.348,7.06,0.058
116,1.313,1.064,0.798,0.266,1546.713,94.595,3.784,0.06,7.616,7.406,7.119,0.058
117,1.313,1.065,0.798,0.266,1639.265,98.379,3.935,0.06,7.675,7.465,7.177,0.058
118,1.314,1.065,0.799,0.266,1737.274,102.314,4.093,0.06,7.733,7.523,7.235,0.058
119,1.315,1.065,0.799,0.266,1841.058,106.406,4.256,0.06,7.792,7.581,7.293,0.058
120,1.315,1.065,0.799,0.266,1950.953,110.663,4.427,0.06,7.85,7.639,7.351,0.058
121,1.316,1.065,0.799,0.266,2067.315,115.089,4.604,0.06,7.908,7.697,7.409,0.058
122,1.316,1.065,0.799,0.266,2190.52,119.693,4.788,0.06,7.967,7.755,7.468,0.058
123,1.317,1.065,0.799,0.266,2320.965,124.48,4.979,0.06,8.025,7.813,7.525,0.058
124,1.317,1.066,0.799,0.266,2459.071,129.46,5.178,0.06,8.083,7.871,7.583,0.058
125,1.318,1.066,0.799,0.266,2605.283,134.638,5.386,0.059,8.141,7.929,7.641,0.058
126,1.318,1.066,0.799,0.266,2760.072,140.023,5.601,0.059,8.199,7.987,7.699,0.058
127,1.319,1.066,0.8,0.267,2923.933,145.624,5.825,0.059,8.257,8.045,7.757,0.058
128,1.319,1.066,0.8,0.267,3097.395,151.449,6.058,0.059,8.315,8.102,7.815,0.058
129,1.32,1.066,0.8,0.267,3281.011,157.507,6.3,0.059,8.373,8.16,7.872,0.058
130,1.32,1.066,0.8,0.267,3475.371,163.808,6.552,0.059,8.431,8.218,7.93,0.058
131,1.321,1.067,0.8,0.267,3681.096,170.36,6.814,0.059,8.489,8.275,7.988,0.058
132,1.321,1.067,0.8,0.267,3898.844,177.174,7.087,0.059,8.547,8.333,8.045,0.058
133,1.321,1.067,0.8,0.267,4129.31,184.261,7.37,0.059,8.605,8.391,8.103,0.058
134,1.322,1.067,0.8,0.267,4373.228,191.632,7.665,0.059,8.662,8.448,8.16,0.058
135,1.322,1.067,0.8,0.267,4631.375,199.297,7.972,0.059,8.72,8.505,8.218,0.057
136,1.323,1.067,0.8,0.267,4904.574,207.269,8.291,0.059,8.778,8.563,8.275,0.057
137,1.323,1.067,0.8,0.267,5193.692,215.56,8.622,0.059,8.835,8.62,8.333,0.057
138,1.324,1.067,0.801,0.267,5499.647,224.182,8.967,0.059,8.893,8.678,8.39,0.057
139,1.324,1.067,0.801,0.267,5823.411,233.149,9.326,0.059,8.95,8.735,8.447,0.057
140,1.325,1.068,0.801,0.267,6166.009,242.475,9.699,0.059,9.008,8.792,8.505,0.057
141,1.325,1.068,0.801,0.267,6528.525,252.174,10.087,0.059,9.065,8.849,8.562,0.057
142,1.325,1.068,0.801,0.267,6912.108,262.261,10.49,0.059,9.123,8.907,8.619,0.057
143,1.326,1.068,0.801,0.267,7317.967,272.752,10.91,0.059,9.18,8.964,8.676,0.057
144,1.326,1.068,0.801,0.267,7747.386,283.662,11.346,0.059,9.237,9.021,8.733,0.057
145,1.327,1.068,0.801,0.267,8201.718,295.008,11.8,0.059,9.295,9.078,8.79,0.057
146,1.327,1.068,0.801,0.267,8682.394,306.809,12.272,0.059,9.352,9.135,8.847,0.057
147,1.327,1.068,0.801,0.267,9190.929,319.081,12.763,0.059,9.409,9.192,8.904,0.057
148,1.328,1.068,0.801,0.267,9728.92,331.844,13.274,0.059,9.466,9.249,8.961,0.057
149,1.328,1.069,0.801,0.267,10298.059,345.118,13.805,0.058,9.524,9.306,9.018,0.057
150,1.329,1.069,0.802,0.267,10900.131,358.923,14.357,0.058,9.581,9.363,9.075,0.057
151,1.329,1.069,0.802,0.267,11537.027,373.28,14.931,0.058,9.638,9.42,9.132,0.057
152,1.329,1.069,0.802,0.267,12210.74,388.211,15.528,0.058,9.695,9.477,9.189,0.057
153,1.33,1.069,0.802,0.267,12923.381,403.739,16.15,0.058,9.752,9.533,9.246,0.057
154,1.33,1.069,0.802,0.267,13677.178,419.889,16.796,0.058,9.809,9.59,9.303,0.057
155,1.331,1.069,0.802,0.267,14474.487,436.684,17.467,0.058,9.866,9.647,9.359,0.057
156,1.331,1.069,0.802,0.267,15317.798,454.152,18.166,0.058,9.923,9.704,9.416,0.057
157,1.331,1.069,0.802,0.267,16209.741,472.318,18.893,0.058,9.979,9.76,9.473,0.057
158,1.332,1.069,0.802,0.267,17153.098,491.21,19.648,0.058,10.036,9.817,9.529,0.057
159,1.332,1.07,0.802,0.267,18150.806,510.859,20.434,0.058,10.093,9.874,9.586,0.057
160,1.332,1.07,0.802,0.267,19205.97,531.293,21.252,0.058,10.15,9.93,9.643,0.057
161,1.333,1.07,0.802,0.267,20321.87,552.545,22.102,0.058,10.207,9.987,9.699,0.057
162,1.333,1.07,0.802,0.267,21501.974,574.647,22.986,0.058,10.263,10.043,9.756,0.057
163,1.333,1.07,0.802,0.267,22749.945,597.633,23.905,0.058,10.32,10.1,9.812,0.057
164,1.334,1.07,0.803,0.268,24069.653,621.538,24.862,0.058,10.377,10.156,9.869,0.056
165,1.334,1.07,0.803,0.268,25465.189,646.399,25.856,0.058,10.433,10.213,9.925,0.056
166,1.334,1.07,0.803,0.268,26940.874,672.255,26.89,0.058,10.49,10.269,9.982,0.056
167,1.335,1.07,0.803,0.268,28501.274,699.146,27.966,0.058,10.546,10.326,10.038,0.056
168,1.335,1.07,0.803,0.268,30151.214,727.111,29.084,0.058,10.603,10.382,10.094,0.056
169,1.335,1.07,0.803,0.268,31895.792,756.196,30.248,0.058,10.659,10.438,10.151,0.056
170,1.336,1.071,0.803,0.268,33740.391,786.444,31.458,0.058,10.716,10.495,10.207,0.056
171,1.336,1.071,0.803,0.268,35690.704,817.902,32.716,0.058,10.772,10.551,10.263,0.056
172,1.336,1.071,0.803,0.268,37752.741,850.618,34.025,0.058,10.829,10.607,10.319,0.056
173,1.337,1.071,0.803,0.268,39932.852,884.642,35.386,0.058,10.885,10.663,10.376,0.056
174,1.337,1.071,0.803,0.268,42237.749,920.028,36.801,0.058,10.941,10.72,10.432,0.056
175,1.337,1.071,0.803,0.268,44674.519,956.829,38.273,0.058,10.998,10.776,10.488,0.056
176,1.338,1.071,0.803,0.268,47250.651,995.102,39.804,0.058,11.054,10.832,10.544,0.056
177,1.338,1.071,0.803,0.268,49974.056,1034.906,41.396,0.058,11.11,10.888,10.6,0.056
178,1.338,1.071,0.803,0.268,52853.092,1076.303,43.052,0.058,11.167,10.944,10.656,0.056
179,1.338,1.071,0.803,0.268,55896.586,1119.355,44.774,0.058,11.223,11,10.712,0.056
180,1.339,1.071,0.804,0.268,59113.865,1164.129,46.565,0.058,11.279,11.056,10.768,0.056
181,1.339,1.071,0.804,0.268,62514.78,1210.694,48.428,0.058,11.335,11.112,10.824,0.056
182,1.339,1.071,0.804,0.268,66109.739,1259.122,50.365,0.058,11.391,11.168,10.88,0.056
183,1.34,1.072,0.804,0.268,69909.735,1309.487,52.379,0.057,11.447,11.224,10.936,0.056
184,1.34,1.072,0.804,0.268,73926.378,1361.866,54.475,0.057,11.503,11.28,10.992,0.056
185,1.34,1.072,0.804,0.268,78171.935,1416.341,56.654,0.057,11.559,11.336,11.048,0.056
186,1.34,1.072,0.804,0.268,82659.361,1472.994,58.92,0.057,11.615,11.392,11.104,0.056
187,1.341,1.072,0.804,0.268,87402.341,1531.914,61.277,0.057,11.671,11.448,11.16,0.056
188,1.341,1.072,0.804,0.268,92415.328,1593.191,63.728,0.057,11.727,11.504,11.216,0.056
189,1.341,1.072,0.804,0.268,97713.59,1656.918,66.277,0.057,11.783,11.559,11.272,0.056
190,1.341,1.072,0.804,0.268,103313.252,1723.195,68.928,0.057,11.839,11.615,11.327,0.056
191,1.342,1.072,0.804,0.268,109231.344,1792.123,71.685,0.057,11.895,11.671,11.383,0.056
192,1.342,1.072,0.804,0.268,115485.855,1863.808,74.552,0.057,11.951,11.727,11.439,0.056
193,1.342,1.072,0.804,0.268,122095.783,1938.36,77.534,0.057,12.007,11.782,11.495,0.056
194,1.343,1.072,0.804,0.268,129081.193,2015.895,80.636,0.057,12.063,11.838,11.55,0.056
195,1.343,1.072,0.804,0.268,136463.277,2096.53,83.861,0.057,12.119,11.894,11.606,0.056
196,1.343,1.072,0.804,0.268,144264.415,2180.392,87.216,0.057,12.174,11.949,11.662,0.056
197,1.343,1.073,0.804,0.268,152508.243,2267.607,90.704,0.057,12.23,12.005,11.717,0.056
198,1.344,1.073,0.804,0.268,161219.725,2358.312,94.332,0.057,12.286,12.061,11.773,0.056
199,1.344,1.073,0.805,0.268,170425.221,2452.644,98.106,0.057,12.342,12.116,11.829,0.056
200,1.344,1.073,0.805,0.268,180152.573,2550.75,102.03,0.057,12.397,12.172,11.884,0.056
201,1.344,1.073,0.805,0.268,190431.18,2652.78,106.111,0.057,12.453,12.227,11.94,0.056
202,1.345,1.073,0.805,0.268,201292.091,2758.891,110.356,0.057,12.509,12.283,11.995,0.056
203,1.345,1.073,0.805,0.268,212768.092,2869.247,114.77,0.057,12.564,12.338,12.051,0.056
204,1.345,1.073,0.805,0.268,224893.809,2984.016,119.361,0.057,12.62,12.394,12.106,0.055
205,1.345,1.073,0.805,0.268,237705.802,3103.377,124.135,0.057,12.675,12.449,12.162,0.055
206,1.345,1.073,0.805,0.268,251242.682,3227.512,129.1,0.057,12.731,12.505,12.217,0.055
207,1.346,1.073,0.805,0.268,265545.218,3356.613,134.265,0.057,12.786,12.56,12.272,0.055
208,1.346,1.073,0.805,0.268,280656.462,3490.877,139.635,0.057,12.842,12.616,12.328,0.055
209,1.346,1.073,0.805,0.268,296621.873,3630.512,145.22,0.057,12.897,12.671,12.383,0.055
210,1.346,1.073,0.805,0.268,313489.454,3775.733,151.029,0.057,12.953,12.726,12.439,0.055
211,1.347,1.073,0.805,0.268,331309.89,3926.762,157.07,0.057,13.008,12.782,12.494,0.055
212,1.347,1.073,0.805,0.268,350136.701,4083.833,163.353,0.057,13.064,12.837,12.549,0.055
213,1.347,1.074,0.805,0.268,370026.397,4247.186,169.887,0.057,13.119,12.892,12.605,0.055
214,1.347,1.074,0.805,0.268,391038.647,4417.073,176.683,0.057,13.175,12.948,12.66,0.055
215,1.348,1.074,0.805,0.268,413236.452,4593.756,183.75,0.057,13.23,13.003,12.715,0.055
216,1.348,1.074,0.805,0.268,436686.332,4777.507,191.1,0.057,13.285,13.058,12.77,0.055
217,1.348,1.074,0.805,0.268,461458.521,4968.607,198.744,0.057,13.341,13.113,12.826,0.055
218,1.348,1.074,0.805,0.268,487627.173,5167.351,206.694,0.057,13.396,13.169,12.881,0.055
219,1.348,1.074,0.805,0.268,515270.584,5374.045,214.962,0.057,13.451,13.224,12.936,0.055
220,1.349,1.074,0.805,0.268,544471.415,5589.007,223.56,0.057,13.507,13.279,12.991,0.055
221,1.349,1.074,0.805,0.268,575316.94,5812.567,232.503,0.057,13.562,13.334,13.046,0.055
222,1.349,1.074,0.806,0.269,607899.302,6045.07,241.803,0.057,13.617,13.389,13.102,0.055
223,1.349,1.074,0.806,0.269,642315.781,6286.873,251.475,0.057,13.672,13.444,13.157,0.055
224,1.349,1.074,0.806,0.269,678669.08,6538.348,261.534,0.057,13.728,13.499,13.212,0.055
225,1.35,1.074,0.806,0.269,717067.627,6799.881,271.995,0.057,13.783,13.555,13.267,0.055
226,1.35,1.074,0.806,0.269,757625.894,7071.877,282.875,0.057,13.838,13.61,13.322,0.055
227,1.35,1.074,0.806,0.269,800464.729,7354.752,294.19,0.057,13.893,13.665,13.377,0.055
228,1.35,1.074,0.806,0.269,845711.712,7648.942,305.958,0.057,13.948,13.72,13.432,0.055
229,1.35,1.074,0.806,0.269,893501.53,7954.9,318.196,0.057,14.003,13.775,13.487,0.055
230,1.351,1.074,0.806,0.269,943976.367,8273.096,330.924,0.056,14.058,13.83,13.542,0.055
231,1.351,1.075,0.806,0.269,997286.325,8604.019,344.161,0.056,14.113,13.885,13.597,0.055
232,1.351,1.075,0.806,0.269,1053589.858,8948.18,357.927,0.056,14.169,13.94,13.652,0.055
233,1.351,1.075,0.806,0.269,1113054.241,9306.107,372.244,0.056,14.224,13.995,13.707,0.055
234,1.351,1.075,0.806,0.269,1175856.051,9678.352,387.134,0.056,14.279,14.05,13.762,0.055
235,1.352,1.075,0.806,0.269,1242181.692,10065.486,402.619,0.056,14.334,14.104,13.817,0.055
236,1.352,1.075,0.806,0.269,1312227.93,10468.105,418.724,0.056,14.389,14.159,13.872,0.055
237,1.352,1.075,0.806,0.269,1386202.476,10886.829,435.473,0.056,14.444,14.214,13.927,0.055
238,1.352,1.075,0.806,0.269,1464324.586,11322.302,452.892,0.056,14.499,14.269,13.981,0.055
239,1.352,1.075,0.806,0.269,1546825.702,11775.195,471.008,0.056,14.553,14.324,14.036,0.055
240,1.352,1.075,0.806,0.269,1633950.129,12246.202,489.848,0.056,14.608,14.379,14.091,0.055
241,1.353,1.075,0.806,0.269,1725955.746,12736.05,509.442,0.056,14.663,14.434,14.146,0.055
242,1.353,1.075,0.806,0.269,1823114.754,13245.492,529.82,0.056,14.718,14.488,14.201,0.055
243,1.353,1.075,0.806,0.269,1925714.476,13775.312,551.012,0.056,14.773,14.543,14.256,0.055
244,1.353,1.075,0.806,0.269,2034058.188,14326.325,573.053,0.056,14.828,14.598,14.31,0.055
245,1.353,1.075,0.806,0.269,2148466.001,14899.378,595.975,0.056,14.883,14.653,14.365,0.055
246,1.353,1.075,0.806,0.269,2269275.798,15495.353,619.814,0.056,14.938,14.708,14.42,0.055
247,1.354,1.075,0.806,0.269,2396844.214,16115.167,644.607,0.056,14.992,14.762,14.475,0.055
248,1.354,1.075,0.806,0.269,2531547.669,16759.774,670.391,0.056,15.047,14.817,14.529,0.055
249,1.354,1.075,0.807,0.269,2673783.47,17430.164,697.207,0.056,15.102,14.872,14.584,0.055
250,1.354,1.075,0.807,0.269,2823970.961,18127.371,725.095,0.056,15.157,14.926,14.639,0.055
251,1.354,1.075,0.807,0.269,2982552.739,18852.466,754.099,0.056,15.212,14.981,14.693,0.055
252,1.355,1.075,0.807,0.269,3149995.944,19606.565,784.263,0.056,15.266,15.036,14.748,0.055
253,1.355,1.076,0.807,0.269,3326793.615,20390.827,815.633,0.056,15.321,15.09,14.803,0.055
254,1.355,1.076,0.807,0.269,3513466.117,21206.46,848.258,0.056,15.376,15.145,14.857,0.055
255,1.355,1.076,0.807,0.269,3710562.652,22054.719,882.189,0.056,15.43,15.2,14.912,0.055
256,1.355,1.076,0.807,0.269,3918662.855,22936.907,917.476,0.056,15.485,15.254,14.967,0.055
257,1.355,1.076,0.807,0.269,4138378.472,23854.384,954.175,0.056,15.54,15.309,15.021,0.055
258,1.355,1.076,0.807,0.269,4370355.131,24808.559,992.342,0.056,15.595,15.363,15.076,0.055
259,1.356,1.076,0.807,0.269,4615274.219,25800.901,1032.036,0.056,15.649,15.418,15.13,0.055
260,1.356,1.076,0.807,0.269,4873854.848,26832.937,1073.317,0.056,15.704,15.472,15.185,0.055
261,1.356,1.076,0.807,0.269,5146855.945,27906.255,1116.25,0.056,15.758,15.527,15.239,0.055
262,1.356,1.076,0.807,0.269,5435078.442,29022.505,1160.9,0.056,15.813,15.582,15.294,0.055
263,1.356,1.076,0.807,0.269,5739367.6,30183.405,1207.336,0.056,15.868,15.636,15.348,0.055
264,1.356,1.076,0.807,0.269,6060615.449,31390.742,1255.63,0.056,15.922,15.691,15.403,0.054
265,1.357,1.076,0.807,0.269,6399763.373,32646.371,1305.855,0.056,15.977,15.745,15.457,0.054
266,1.357,1.076,0.807,0.269,6757804.828,33952.226,1358.089,0.056,16.031,15.8,15.512,0.054
267,1.357,1.076,0.807,0.269,7135788.215,35310.315,1412.413,0.056,16.086,15.854,15.566,0.054
268,1.357,1.076,0.807,0.269,7534819.91,36722.728,1468.909,0.056,16.14,15.908,15.621,0.054
269,1.357,1.076,0.807,0.269,7956067.459,38191.637,1527.665,0.056,16.195,15.963,15.675,0.054
270,1.357,1.076,0.807,0.269,8400762.952,39719.302,1588.772,0.056,16.249,16.017,15.73,0.054
271,1.357,1.076,0.807,0.269,8870206.578,41308.074,1652.323,0.056,16.304,16.072,15.784,0.054
