"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
855,1.759,1.172,0.879,0.293,190637546699359360,22550016.108,902000.644,0.046,40.354,39.948,39.661,0.045
856,1.759,1.172,0.879,0.293,199347526504275296,23001016.43,920040.657,0.046,40.399,39.993,39.705,0.045
857,1.759,1.172,0.879,0.293,208455451713751680,23461036.759,938441.47,0.046,40.443,40.038,39.75,0.045
858,1.759,1.172,0.879,0.293,217979503759006688,23930257.494,957210.3,0.046,40.488,40.082,39.795,0.045
859,1.759,1.172,0.879,0.293,227938694746584704,24408862.644,976354.506,0.046,40.533,40.127,39.839,0.045
860,1.759,1.172,0.879,0.293,238352905410259200,24897039.897,995881.596,0.046,40.577,40.172,39.884,0.045
861,1.759,1.172,0.879,0.293,249242924796879520,25394980.695,1015799.228,0.046,40.622,40.216,39.929,0.045
862,1.759,1.172,0.879,0.293,260630491765381888,25902880.308,1036115.212,0.046,40.667,40.261,39.973,0.045
863,1.759,1.172,0.879,0.293,272538338381804128,26420937.915,1056837.517,0.046,40.711,40.306,40.018,0.045
864,1.759,1.172,0.879,0.293,284990235296928384,26949356.673,1077974.267,0.046,40.756,40.35,40.063,0.045
865,1.759,1.172,0.879,0.293,298011039197134336,27488343.806,1099533.752,0.046,40.801,40.395,40.107,0.045
866,1.759,1.172,0.879,0.293,311626742423182784,28038110.682,1121524.427,0.046,40.846,40.44,40.152,0.045
867,1.759,1.172,0.879,0.293,325864524855978368,28598872.896,1143954.916,0.046,40.89,40.484,40.197,0.045
868,1.759,1.172,0.879,0.293,340752808172884224,29170850.354,1166834.014,0.046,40.935,40.529,40.241,0.045
869,1.759,1.172,0.879,0.293,356321312582894784,29754267.361,1190170.694,0.046,40.98,40.574,40.286,0.045
870,1.759,1.172,0.879,0.293,372601116153919616,30349352.708,1213974.108,0.046,41.024,40.618,40.331,0.045
871,1.759,1.172,0.879,0.293,389624716850606848,30956339.763,1238253.591,0.046,41.069,40.663,40.375,0.045
872,1.759,1.172,0.879,0.293,407426097406544768,31575466.558,1263018.662,0.046,41.114,40.708,40.42,0.045
873,1.759,1.172,0.879,0.293,426040793160338176,32206975.889,1288279.036,0.046,41.158,40.752,40.465,0.045
874,1.759,1.172,0.879,0.293,445505962990972608,32851115.407,1314044.616,0.046,41.203,40.797,40.509,0.045
875,1.759,1.172,0.879,0.293,465860463494066368,33508137.715,1340325.509,0.046,41.248,40.842,40.554,0.045
876,1.759,1.172,0.879,0.293,487144926547079104,34178300.469,1367132.019,0.046,41.292,40.886,40.599,0.045
877,1.759,1.172,0.879,0.293,509401840418311744,34861866.479,1394474.659,0.046,41.337,40.931,40.643,0.045
878,1.759,1.172,0.879,0.293,532675634581605312,35559103.808,1422364.152,0.046,41.382,40.976,40.688,0.045
879,1.759,1.172,0.879,0.293,557012768406044544,36270285.884,1450811.435,0.046,41.426,41.02,40.733,0.045
880,1.759,1.172,0.879,0.293,582461823897706240,36995691.602,1479827.664,0.046,41.471,41.065,40.777,0.045
881,1.759,1.172,0.879,0.293,609073602678582656,37735605.434,1509424.217,0.046,41.516,41.11,40.822,0.045
882,1.759,1.172,0.879,0.293,636901227396265472,38490317.543,1539612.702,0.046,41.56,41.154,40.867,0.045
883,1.759,1.172,0.879,0.293,666000247766824704,39260123.894,1570404.956,0.046,41.605,41.199,40.911,0.045
884,1.759,1.172,0.879,0.293,696428751462560640,40045326.371,1601813.055,0.046,41.65,41.244,40.956,0.045
