t,s,n,alpha,phi,delta,k,y,c,sy,L,K,A,ln(y),ln(k),ln(c) ,g,k
182,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.88582E+17,1.88582E+17,39.77831025,39.77831025,39.34752733,0.223143551,1.88582E+17
183,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.35728E+17,2.35728E+17,40.0014538,40.0014538,39.57067089,0.223143551,2.35728E+17
184,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.9466E+17,2.9466E+17,40.22459735,40.22459735,39.79381444,0.223143551,2.9466E+17
185,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.68325E+17,3.68325E+17,40.4477409,40.4477409,40.01695799,0.223143551,3.68325E+17
186,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.60406E+17,4.60406E+17,40.67088446,40.67088446,40.24010154,0.223143551,4.60406E+17
187,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5.75507E+17,5.75507E+17,40.89402801,40.89402801,40.46324509,0.223143551,5.75507E+17
188,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,7.19384E+17,7.19384E+17,41.11717156,41.11717156,40.68638864,0.223143551,7.19384E+17
189,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8.9923E+17,8.9923E+17,41.34031511,41.34031511,40.90953219,0.223143551,8.9923E+17
190,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.12404E+18,1.12404E+18,41.56345866,41.56345866,41.13267574,0.223143551,1.12404E+18
191,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.40505E+18,1.40505E+18,41.78660221,41.78660221,41.3558193,0.223143551,1.40505E+18
192,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.75631E+18,1.75631E+18,42.00974576,42.00974576,41.57896285,0.223143551,1.75631E+18
193,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.19539E+18,2.19539E+18,42.23288931,42.23288931,41.8021064,0.223143551,2.19539E+18
194,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.74423E+18,2.74423E+18,42.45603287,42.45603287,42.02524995,0.223143551,2.74423E+18
195,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.43029E+18,3.43029E+18,42.67917642,42.67917642,42.2483935,0.223143551,3.43029E+18
196,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.28786E+18,4.28786E+18,42.90231997,42.90231997,42.47153705,0.223143551,4.28786E+18
197,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5.35983E+18,5.35983E+18,43.12546352,43.12546352,42.6946806,0.223143551,5.35983E+18
198,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6.69978E+18,6.69978E+18,43.34860707,43.34860707,42.91782415,0.223143551,6.69978E+18
199,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8.37473E+18,8.37473E+18,43.57175062,43.57175062,43.14096771,0.223143551,8.37473E+18
200,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.04684E+19,1.04684E+19,43.79489417,43.79489417,43.36411126,0.223143551,1.04684E+19
