t,s,n,alpha,phi,delta,k,y,c,sy,L,K,A,ln(y),ln(k),ln(c) ,g,k
37,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1673.203463,1673.203463,7.422495309,7.422495309,6.991712393,0.223143551,1673.203463
38,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2091.504329,2091.504329,7.645638861,7.645638861,7.214855944,0.223143551,2091.504329
39,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2614.380411,2614.380411,7.868782412,7.868782412,7.437999496,0.223143551,2614.380411
40,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3267.975514,3267.975514,8.091925963,8.091925963,7.661143047,0.223143551,3267.975514
41,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4084.969392,4084.969392,8.315069514,8.315069514,7.884286598,0.223143551,4084.969392
42,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5106.21174,5106.21174,8.538213066,8.538213066,8.10743015,0.223143551,5106.21174
43,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6382.764675,6382.764675,8.761356617,8.761356617,8.330573701,0.223143551,6382.764675
44,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,7978.455844,7978.455844,8.984500168,8.984500168,8.553717252,0.223143551,7978.455844
45,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,9973.069805,9973.069805,9.20764372,9.20764372,8.776860804,0.223143551,9973.069805
46,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,12466.33726,12466.33726,9.430787271,9.430787271,9.000004355,0.223143551,12466.33726
47,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,15582.92157,15582.92157,9.653930822,9.653930822,9.223147906,0.223143551,15582.92157
48,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,19478.65196,19478.65196,9.877074374,9.877074374,9.446291458,0.223143551,19478.65196
49,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,24348.31495,24348.31495,10.10021793,10.10021793,9.669435009,0.223143551,24348.31495
50,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,30435.39369,30435.39369,10.32336148,10.32336148,9.89257856,0.223143551,30435.39369
51,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,38044.24211,38044.24211,10.54650503,10.54650503,10.11572211,0.223143551,38044.24211
52,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,47555.30264,47555.30264,10.76964858,10.76964858,10.33886566,0.223143551,47555.30264
53,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,59444.1283,59444.1283,10.99279213,10.99279213,10.56200921,0.223143551,59444.1283
54,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,74305.16038,74305.16038,11.21593568,11.21593568,10.78515277,0.223143551,74305.16038
55,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,92881.45047,92881.45047,11.43907923,11.43907923,11.00829632,0.223143551,92881.45047
56,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,116101.8131,116101.8131,11.66222278,11.66222278,11.23143987,0.223143551,116101.8131
57,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,145127.2664,145127.2664,11.88536634,11.88536634,11.45458342,0.223143551,145127.2664
58,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,181409.083,181409.083,12.10850989,12.10850989,11.67772697,0.223143551,181409.083
59,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,226761.3537,226761.3537,12.33165344,12.33165344,11.90087052,0.223143551,226761.3537
60,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,283451.6921,283451.6921,12.55479699,12.55479699,12.12401407,0.223143551,283451.6921
61,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,354314.6151,354314.6151,12.77794054,12.77794054,12.34715762,0.223143551,354314.6151
62,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,442893.2689,442893.2689,13.00108409,13.00108409,12.57030118,0.223143551,442893.2689
63,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,553616.5862,553616.5862,13.22422764,13.22422764,12.79344473,0.223143551,553616.5862
64,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,692020.7327,692020.7327,13.44737119,13.44737119,13.01658828,0.223143551,692020.7327
65,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,865025.9159,865025.9159,13.67051475,13.67051475,13.23973183,0.223143551,865025.9159
66,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1081282.395,1081282.395,13.8936583,13.8936583,13.46287538,0.223143551,1081282.395
67,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1351602.994,1351602.994,14.11680185,14.11680185,13.68601893,0.223143551,1351602.994
68,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1689503.742,1689503.742,14.3399454,14.3399454,13.90916248,0.223143551,1689503.742
69,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2111879.677,2111879.677,14.56308895,14.56308895,14.13230604,0.223143551,2111879.677
70,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2639849.597,2639849.597,14.7862325,14.7862325,14.35544959,0.223143551,2639849.597
71,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3299811.996,3299811.996,15.00937605,15.00937605,14.57859314,0.223143551,3299811.996
72,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4124764.995,4124764.995,15.23251961,15.23251961,14.80173669,0.223143551,4124764.995
73,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5155956.244,5155956.244,15.45566316,15.45566316,15.02488024,0.223143551,5155956.244
74,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6444945.305,6444945.305,15.67880671,15.67880671,15.24802379,0.223143551,6444945.305
75,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8056181.631,8056181.631,15.90195026,15.90195026,15.47116734,0.223143551,8056181.631
76,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,10070227.04,10070227.04,16.12509381,16.12509381,15.69431089,0.223143551,10070227.04
77,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,12587783.8,12587783.8,16.34823736,16.34823736,15.91745445,0.223143551,12587783.8
78,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,15734729.75,15734729.75,16.57138091,16.57138091,16.140598,0.223143551,15734729.75
79,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,19668412.18,19668412.18,16.79452446,16.79452446,16.36374155,0.223143551,19668412.18
80,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,24585515.23,24585515.23,17.01766802,17.01766802,16.5868851,0.223143551,24585515.23
81,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,30731894.04,30731894.04,17.24081157,17.24081157,16.81002865,0.223143551,30731894.04
82,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,38414867.55,38414867.55,17.46395512,17.46395512,17.0331722,0.223143551,38414867.55
83,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,48018584.44,48018584.44,17.68709867,17.68709867,17.25631575,0.223143551,48018584.44
84,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,60023230.54,60023230.54,17.91024222,17.91024222,17.4794593,0.223143551,60023230.54
85,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,75029038.18,75029038.18,18.13338577,18.13338577,17.70260286,0.223143551,75029038.18
86,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,93786297.73,93786297.73,18.35652932,18.35652932,17.92574641,0.223143551,93786297.73
87,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,117232872.2,117232872.2,18.57967287,18.57967287,18.14888996,0.223143551,117232872.2
88,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,146541090.2,146541090.2,18.80281643,18.80281643,18.37203351,0.223143551,146541090.2
89,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,183176362.7,183176362.7,19.02595998,19.02595998,18.59517706,0.223143551,183176362.7
90,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,228970453.4,228970453.4,19.24910353,19.24910353,18.81832061,0.223143551,228970453.4
91,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,286213066.8,286213066.8,19.47224708,19.47224708,19.04146416,0.223143551,286213066.8
92,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,357766333.5,357766333.5,19.69539063,19.69539063,19.26460772,0.223143551,357766333.5
93,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,447207916.9,447207916.9,19.91853418,19.91853418,19.48775127,0.223143551,447207916.9
94,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,559009896.1,559009896.1,20.14167773,20.14167773,19.71089482,0.223143551,559009896.1
95,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,698762370.1,698762370.1,20.36482129,20.36482129,19.93403837,0.223143551,698762370.1
96,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,873452962.6,873452962.6,20.58796484,20.58796484,20.15718192,0.223143551,873452962.6
97,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1091816203,1091816203,20.81110839,20.81110839,20.38032547,0.223143551,1091816203
98,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1364770254,1364770254,21.03425194,21.03425194,20.60346902,0.223143551,1364770254
99,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1705962818,1705962818,21.25739549,21.25739549,20.82661257,0.223143551,1705962818
100,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2132453522,2132453522,21.48053904,21.48053904,21.04975613,0.223143551,2132453522
101,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2665566903,2665566903,21.70368259,21.70368259,21.27289968,0.223143551,2665566903
102,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3331958628,3331958628,21.92682614,21.92682614,21.49604323,0.223143551,3331958628
103,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4164948285,4164948285,22.1499697,22.1499697,21.71918678,0.223143551,4164948285
104,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5206185357,5206185357,22.37311325,22.37311325,21.94233033,0.223143551,5206185357
105,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6507731696,6507731696,22.5962568,22.5962568,22.16547388,0.223143551,6507731696
106,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8134664620,8134664620,22.81940035,22.81940035,22.38861743,0.223143551,8134664620
107,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,10168330774,10168330774,23.0425439,23.0425439,22.61176099,0.223143551,10168330774
108,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,12710413468,12710413468,23.26568745,23.26568745,22.83490454,0.223143551,12710413468
109,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,15888016835,15888016835,23.488831,23.488831,23.05804809,0.223143551,15888016835
110,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,19860021044,19860021044,23.71197456,23.71197456,23.28119164,0.223143551,19860021044
111,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,24825026305,24825026305,23.93511811,23.93511811,23.50433519,0.223143551,24825026305
112,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,31031282881,31031282881,24.15826166,24.15826166,23.72747874,0.223143551,31031282881
113,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,38789103601,38789103601,24.38140521,24.38140521,23.95062229,0.223143551,38789103601
114,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,48486379502,48486379502,24.60454876,24.60454876,24.17376584,0.223143551,48486379502
115,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,60607974377,60607974377,24.82769231,24.82769231,24.3969094,0.223143551,60607974377
116,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,75759967971,75759967971,25.05083586,25.05083586,24.62005295,0.223143551,75759967971
117,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,94699959964,94699959964,25.27397941,25.27397941,24.8431965,0.223143551,94699959964
118,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.18375E+11,1.18375E+11,25.49712297,25.49712297,25.06634005,0.223143551,1.18375E+11
119,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.47969E+11,1.47969E+11,25.72026652,25.72026652,25.2894836,0.223143551,1.47969E+11
120,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.84961E+11,1.84961E+11,25.94341007,25.94341007,25.51262715,0.223143551,1.84961E+11
121,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.31201E+11,2.31201E+11,26.16655362,26.16655362,25.7357707,0.223143551,2.31201E+11
122,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.89001E+11,2.89001E+11,26.38969717,26.38969717,25.95891425,0.223143551,2.89001E+11
123,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.61252E+11,3.61252E+11,26.61284072,26.61284072,26.18205781,0.223143551,3.61252E+11
124,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.51565E+11,4.51565E+11,26.83598427,26.83598427,26.40520136,0.223143551,4.51565E+11
125,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5.64456E+11,5.64456E+11,27.05912782,27.05912782,26.62834491,0.223143551,5.64456E+11
126,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,7.0557E+11,7.0557E+11,27.28227138,27.28227138,26.85148846,0.223143551,7.0557E+11
127,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8.81962E+11,8.81962E+11,27.50541493,27.50541493,27.07463201,0.223143551,8.81962E+11
128,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.10245E+12,1.10245E+12,27.72855848,27.72855848,27.29777556,0.223143551,1.10245E+12
129,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.37807E+12,1.37807E+12,27.95170203,27.95170203,27.52091911,0.223143551,1.37807E+12
130,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.72258E+12,1.72258E+12,28.17484558,28.17484558,27.74406267,0.223143551,1.72258E+12
131,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.15323E+12,2.15323E+12,28.39798913,28.39798913,27.96720622,0.223143551,2.15323E+12
132,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.69153E+12,2.69153E+12,28.62113268,28.62113268,28.19034977,0.223143551,2.69153E+12
133,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.36442E+12,3.36442E+12,28.84427624,28.84427624,28.41349332,0.223143551,3.36442E+12
134,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.20552E+12,4.20552E+12,29.06741979,29.06741979,28.63663687,0.223143551,4.20552E+12
135,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5.2569E+12,5.2569E+12,29.29056334,29.29056334,28.85978042,0.223143551,5.2569E+12
136,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6.57113E+12,6.57113E+12,29.51370689,29.51370689,29.08292397,0.223143551,6.57113E+12
137,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8.21391E+12,8.21391E+12,29.73685044,29.73685044,29.30606752,0.223143551,8.21391E+12
138,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.02674E+13,1.02674E+13,29.95999399,29.95999399,29.52921108,0.223143551,1.02674E+13
139,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.28342E+13,1.28342E+13,30.18313754,30.18313754,29.75235463,0.223143551,1.28342E+13
140,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.60428E+13,1.60428E+13,30.40628109,30.40628109,29.97549818,0.223143551,1.60428E+13
141,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.00535E+13,2.00535E+13,30.62942465,30.62942465,30.19864173,0.223143551,2.00535E+13
142,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.50669E+13,2.50669E+13,30.8525682,30.8525682,30.42178528,0.223143551,2.50669E+13
143,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.13336E+13,3.13336E+13,31.07571175,31.07571175,30.64492883,0.223143551,3.13336E+13
144,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.9167E+13,3.9167E+13,31.2988553,31.2988553,30.86807238,0.223143551,3.9167E+13
145,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.89587E+13,4.89587E+13,31.52199885,31.52199885,31.09121594,0.223143551,4.89587E+13
