t,s,n,alpha,phi,delta,k,y,c,sy,L,K,A,ln(y),ln(k),ln(c) ,g
177,0.35,0.02,0.33,0.6,0.1,3.513217642,1.513849383,0.984002099,0.529847284,33.28360826,147855.8941,1264.454438,7.557051701,8.398928359,7.126268785,0.029749508
178,0.35,0.02,0.33,0.6,0.1,3.513301756,1.513861344,0.984009873,0.52985147,33.94928043,155369.2488,1302.623892,7.586799456,8.428692155,7.15601654,0.029747755
179,0.35,0.02,0.33,0.6,0.1,3.513382638,1.513872844,0.984017349,0.529855496,34.62826604,163264.0217,1341.943695,7.616545526,8.458453649,7.18576261,0.02974607
180,0.35,0.02,0.33,0.6,0.1,3.51346041,1.513883903,0.984024537,0.529859366,35.32083136,171559.5717,1382.448533,7.646289975,8.488212929,7.215507059,0.029744449
181,0.35,0.02,0.33,0.6,0.1,3.513535192,1.513894536,0.984031449,0.529863088,36.02724798,180276.2402,1424.174138,7.676032866,8.51797008,7.24524995,0.029742891
182,0.35,0.02,0.33,0.6,0.1,3.5136071,1.513904761,0.984038094,0.529866666,36.74779294,189435.401,1467.157321,7.705774259,8.547725186,7.274991343,0.029741393
183,0.35,0.02,0.33,0.6,0.1,3.513676243,1.513914592,0.984044485,0.529870107,37.4827488,199059.5127,1511.435999,7.735514212,8.577478323,7.304731296,0.029739953
184,0.35,0.02,0.33,0.6,0.1,3.513742728,1.513924045,0.984050629,0.529873416,38.23240378,209172.1739,1557.049237,7.76525278,8.607229568,7.334469863,0.029738568
185,0.35,0.02,0.33,0.6,0.1,3.513806657,1.513933135,0.984056537,0.529876597,38.99705185,219798.1806,1604.037274,7.794990015,8.636978994,7.364207099,0.029737236
186,0.35,0.02,0.33,0.6,0.1,3.513868129,1.513941875,0.984062219,0.529879656,39.77699289,230963.5875,1652.441563,7.824725971,8.66672667,7.393943054,0.029735955
187,0.35,0.02,0.33,0.6,0.1,3.513927237,1.513950279,0.984067681,0.529882598,40.57253275,242695.7714,1702.304808,7.854460695,8.696472664,7.423677778,0.029734724
188,0.35,0.02,0.33,0.6,0.1,3.513984073,1.513958359,0.984072934,0.529885426,41.3839834,255023.499,1753.670999,7.884194235,8.726217041,7.453411319,0.02973354
189,0.35,0.02,0.33,0.6,0.1,3.514038725,1.513966129,0.984077984,0.529888145,42.21166307,267976.9965,1806.585454,7.913926636,8.755959863,7.48314372,0.029732402
190,0.35,0.02,0.33,0.6,0.1,3.514091275,1.513973601,0.98408284,0.52989076,43.05589633,281588.0245,1861.094855,7.943657944,8.785701189,7.512875027,0.029731307
191,0.35,0.02,0.33,0.6,0.1,3.514141804,1.513980785,0.98408751,0.529893275,43.91701426,295889.9553,1917.247293,7.973388198,8.815441078,7.542605282,0.029730255
192,0.35,0.02,0.33,0.6,0.1,3.514190392,1.513987692,0.984092,0.529895692,44.79535455,310917.8552,1975.092309,8.003117441,8.845179584,7.572334525,0.029729243
193,0.35,0.02,0.33,0.6,0.1,3.514237111,1.513994335,0.984096317,0.529898017,45.69126164,326708.57,2034.680936,8.032845711,8.874916761,7.602062794,0.02972827
194,0.35,0.02,0.33,0.6,0.1,3.514282034,1.514000721,0.984100469,0.529900252,46.60508687,343300.8156,2096.065748,8.062573045,8.90465266,7.631790128,0.029727334
195,0.35,0.02,0.33,0.6,0.1,3.51432523,1.514006862,0.984104461,0.529902402,47.53718861,360735.2729,2159.300901,8.092299479,8.934387329,7.661516563,0.029726434
196,0.35,0.02,0.33,0.6,0.1,3.514366765,1.514012767,0.984108299,0.529904469,48.48793238,379054.6874,2224.442187,8.122025048,8.964120817,7.691242132,0.029725569
197,0.35,0.02,0.33,0.6,0.1,3.514406704,1.514018445,0.984111989,0.529906456,49.45769103,398303.974,2291.547077,8.151749786,8.993853169,7.72096687,0.029724738
198,0.35,0.02,0.33,0.6,0.1,3.514445107,1.514023905,0.984115538,0.529908367,50.44684485,418530.3272,2360.674777,8.181473724,9.023584428,7.750690808,0.029723938
199,0.35,0.02,0.33,0.6,0.1,3.514482034,1.514029154,0.98411895,0.529910204,51.45578174,439783.337,2431.886278,8.211196893,9.053314637,7.780413976,0.029723169
200,0.35,0.02,0.33,0.6,0.1,3.51451754,1.514034202,0.984122231,0.529911971,52.48489738,462115.1097,2505.244407,8.240919322,9.083043835,7.810136406,0.029722429
